Median_House_Value,Median_Income,Median_Age,Tot_Rooms,Tot_Bedrooms,Population,Households,Latitude,Longitude,Distance_to_coast,Distance_to_LA,Distance_to_SanDiego,Distance_to_SanJose,Distance_to_SanFrancisco,ocean_proximity,City,average_rooms,average_bedrooms,Rounded_Distance_To_Coast,Rounded_Distance_To_LA,Rounded_Distance_To_SanDiego,Rounded_Distance_To_SanFrancisco,Rounded_Distance_To_SanJose
137500,1.6607,52,217,82,531,93,32.71,-117.15,4001.192719,180517.6317,1217.68508,671407.5798,739376.6457,NEAR OCEAN,San Diego,2.33,0.88,5,180,0,740,670
262500,1.5909,44,626,256,572,229,32.72,-117.17,3794.527725,178552.9147,959.2130379,669370.4741,737336.2462,NEAR OCEAN,San Diego,2.73,1.12,5,180,0,735,670
86300,1.2863,52,458,148,1283,166,32.7,-117.15,3432.246075,181441.2791,2034.144185,672275.9487,740242.0148,NEAR OCEAN,San Diego,2.76,0.89,5,180,0,740,670
162500,1.3657,50,475,172,483,120,32.7,-117.15,3432.246075,181441.2791,2034.144185,672275.9487,740242.0148,NEAR OCEAN,San Diego,3.96,1.43,5,180,0,740,670
84200,1.4583,15,869,217,887,216,32.7,-117.09,7185.624457,184617.0066,6877.457882,675793.3457,743777.0791,NEAR OCEAN,San Diego,4.02,1,5,185,5,745,675
94200,1.4089,22,2409,582,1887,578,32.7,-117.09,7185.624457,184617.0066,6877.457882,675793.3457,743777.0791,NEAR OCEAN,San Diego,4.17,1.01,5,185,5,745,675
114600,2.3261,20,1406,413,850,412,32.75,-117.12,9124.0673,178457.8904,5411.643683,669707.0999,737695.7096,NEAR OCEAN,San Diego,3.41,1,10,180,5,740,670
119200,1.9886,17,2060,633,1251,602,32.75,-117.12,9124.0673,178457.8904,5411.643683,669707.0999,737695.7096,NEAR OCEAN,San Diego,3.42,1.05,10,180,5,740,670
130000,1.64,25,2222,634,1025,568,32.75,-117.12,9124.0673,178457.8904,5411.643683,669707.0999,737695.7096,NEAR OCEAN,San Diego,3.91,1.12,10,180,5,740,670
118300,2.4394,37,2344,546,1134,513,32.75,-117.12,9124.0673,178457.8904,5411.643683,669707.0999,737695.7096,NEAR OCEAN,San Diego,4.57,1.06,10,180,5,740,670
101800,2.1767,13,2795,773,1869,690,32.75,-117.12,9124.0673,178457.8904,5411.643683,669707.0999,737695.7096,NEAR OCEAN,San Diego,4.05,1.12,10,180,5,740,670
106700,2.1394,15,2671,724,1800,646,32.75,-117.12,9124.0673,178457.8904,5411.643683,669707.0999,737695.7096,NEAR OCEAN,San Diego,4.13,1.12,10,180,5,740,670
137200,2.2024,5,1615,387,1094,394,32.72,-117.1,8610.269871,182260.7676,5734.506118,673476.1673,741462.4012,NEAR OCEAN,San Diego,4.1,0.98,10,180,5,740,675
65700,1.0531,38,818,217,953,231,32.7,-117.12,5882.147024,183014.8345,4223.727413,674031.4189,742006.6651,NEAR OCEAN,San Diego,3.54,0.94,5,185,5,740,675
84100,1.8187,36,1011,253,763,226,32.7,-117.12,5882.147024,183014.8345,4223.727413,674031.4189,742006.6651,NEAR OCEAN,San Diego,4.47,1.12,5,185,5,740,675
90500,1.3194,14,819,237,827,237,32.7,-117.12,5882.147024,183014.8345,4223.727413,674031.4189,742006.6651,NEAR OCEAN,San Diego,3.46,1,5,185,5,740,675
78100,1.1681,37,1361,348,1398,328,32.7,-117.12,5882.147024,183014.8345,4223.727413,674031.4189,742006.6651,NEAR OCEAN,San Diego,4.15,1.06,5,185,5,740,675
300000,1.0612,15,1716,702,914,672,32.75,-117.21,7329.977264,173707.3565,5953.848405,664429.2151,732391.2839,NEAR OCEAN,San Diego,2.55,1.04,5,175,5,730,665
262100,2.8043,27,2072,534,1118,510,32.75,-117.21,7329.977264,173707.3565,5953.848405,664429.2151,732391.2839,NEAR OCEAN,San Diego,4.06,1.05,5,175,5,730,665
127800,2.3594,43,2336,644,1203,614,32.76,-117.12,9991.960418,177553.3565,6244.491676,668844.4188,736835.5169,NEAR OCEAN,San Diego,3.8,1.05,10,180,5,735,670
120500,2.1856,41,1469,421,803,395,32.76,-117.12,9991.960418,177553.3565,6244.491676,668844.4188,736835.5169,NEAR OCEAN,San Diego,3.72,1.07,10,180,5,735,670
147500,2.5991,28,1605,501,936,460,32.76,-117.12,9991.960418,177553.3565,6244.491676,668844.4188,736835.5169,NEAR OCEAN,San Diego,3.49,1.09,10,180,5,735,670
128100,1.9152,28,2160,608,1339,571,32.76,-117.12,9991.960418,177553.3565,6244.491676,668844.4188,736835.5169,NEAR OCEAN,San Diego,3.78,1.06,10,180,5,735,670
118800,2.0673,27,1426,364,792,353,32.76,-117.12,9991.960418,177553.3565,6244.491676,668844.4188,736835.5169,NEAR OCEAN,San Diego,4.04,1.03,10,180,5,735,670
150000,2.0139,17,1559,462,821,428,32.76,-117.12,9991.960418,177553.3565,6244.491676,668844.4188,736835.5169,NEAR OCEAN,San Diego,3.64,1.08,10,180,5,735,670
123600,2.4821,26,1221,331,620,296,32.76,-117.12,9991.960418,177553.3565,6244.491676,668844.4188,736835.5169,NEAR OCEAN,San Diego,4.13,1.12,10,180,5,735,670
139000,2.4297,33,2279,591,1250,576,32.76,-117.12,9991.960418,177553.3565,6244.491676,668844.4188,736835.5169,NEAR OCEAN,San Diego,3.96,1.03,10,180,5,735,670
116100,2.1597,23,2681,717,1279,648,32.76,-117.12,9991.960418,177553.3565,6244.491676,668844.4188,736835.5169,NEAR OCEAN,San Diego,4.14,1.11,10,180,5,735,670
86500,2.725,39,395,159,620,162,32.69,-117.11,5214.687038,184461.1725,5571.282372,675484.3553,743459.7219,NEAR OCEAN,San Diego,2.44,0.98,5,185,5,745,675
93400,1.9425,36,1421,367,1418,355,32.69,-117.11,5214.687038,184461.1725,5571.282372,675484.3553,743459.7219,NEAR OCEAN,San Diego,4,1.03,5,185,5,745,675
91800,2.09,34,1144,295,1271,302,32.69,-117.11,5214.687038,184461.1725,5571.282372,675484.3553,743459.7219,NEAR OCEAN,San Diego,3.79,0.98,5,185,5,745,675
86300,1.5933,37,2395,627,2489,599,32.69,-117.11,5214.687038,184461.1725,5571.282372,675484.3553,743459.7219,NEAR OCEAN,San Diego,4,1.05,5,185,5,745,675
459600,8.603,52,1504,208,518,196,32.75,-117.18,6914.844326,175260.9326,4200.664106,666181.9867,734153.6091,NEAR OCEAN,San Diego,7.67,1.06,5,175,5,735,665
408500,5.392,52,1539,212,535,224,32.75,-117.18,6914.844326,175260.9326,4200.664106,666181.9867,734153.6091,NEAR OCEAN,San Diego,6.87,0.95,5,175,5,735,665
284700,2.7222,36,2282,534,918,531,32.75,-117.18,6914.844326,175260.9326,4200.664106,666181.9867,734153.6091,NEAR OCEAN,San Diego,4.3,1.01,5,175,5,735,665
452800,4.4777,44,2819,514,1258,503,32.69,-117.18,421.0840245,180830.5708,3364.686339,671398.1287,739351.0474,NEAR OCEAN,San Diego,5.6,1.02,0,180,5,740,670
432400,5.1249,48,2764,491,978,449,32.69,-117.18,421.0840245,180830.5708,3364.686339,671398.1287,739351.0474,NEAR OCEAN,San Diego,6.16,1.09,0,180,5,740,670
320800,3.2121,37,3112,716,1304,674,32.69,-117.18,421.0840245,180830.5708,3364.686339,671398.1287,739351.0474,NEAR OCEAN,San Diego,4.62,1.06,0,180,5,740,670
500001,5.1009,52,1837,313,668,300,32.69,-117.18,421.0840245,180830.5708,3364.686339,671398.1287,739351.0474,NEAR OCEAN,San Diego,6.12,1.04,0,180,5,740,670
102100,2.113,34,2131,594,1373,562,32.75,-117.11,9761.175961,179002.0127,6111.496592,670297.1333,738288.3036,NEAR OCEAN,San Diego,3.79,1.06,10,180,5,740,670
100000,2.05,11,1607,478,1384,450,32.75,-117.11,9761.175961,179002.0127,6111.496592,670297.1333,738288.3036,NEAR OCEAN,San Diego,3.57,1.06,10,180,5,740,670
101100,2.0893,20,1667,469,1292,445,32.75,-117.11,9761.175961,179002.0127,6111.496592,670297.1333,738288.3036,NEAR OCEAN,San Diego,3.75,1.05,10,180,5,740,670
90600,2.4219,46,695,182,601,195,32.75,-117.11,9761.175961,179002.0127,6111.496592,670297.1333,738288.3036,NEAR OCEAN,San Diego,3.56,0.93,10,180,5,740,670
103100,1.7696,18,1943,587,1329,522,32.75,-117.11,9761.175961,179002.0127,6111.496592,670297.1333,738288.3036,NEAR OCEAN,San Diego,3.72,1.12,10,180,5,740,670
100000,1.6896,21,2127,658,1812,603,32.75,-117.11,9761.175961,179002.0127,6111.496592,670297.1333,738288.3036,NEAR OCEAN,San Diego,3.53,1.09,10,180,5,740,670
169800,4.8167,16,1953,404,798,385,32.74,-117.23,7232.091665,173625.1597,6988.139487,664135.392,732087.3746,NEAR OCEAN,San Diego,5.07,1.05,5,175,5,730,665
263800,4.1806,44,1404,229,513,217,32.74,-117.23,7232.091665,173625.1597,6988.139487,664135.392,732087.3746,NEAR OCEAN,San Diego,6.47,1.06,5,175,5,730,665
238200,4.1339,35,2615,525,1312,547,32.74,-117.23,7232.091665,173625.1597,6988.139487,664135.392,732087.3746,NEAR OCEAN,San Diego,4.78,0.96,5,175,5,730,665
179200,4.6354,16,735,139,299,134,32.74,-117.23,7232.091665,173625.1597,6988.139487,664135.392,732087.3746,NEAR OCEAN,San Diego,5.49,1.04,5,175,5,730,665
92400,1.0617,15,2422,774,2120,715,32.75,-117.1,10443.31832,179549.2847,6867.658777,670887.8802,738881.5345,NEAR OCEAN,San Diego,3.39,1.08,10,180,5,740,670
91300,1.3448,11,2393,726,1905,711,32.75,-117.1,10443.31832,179549.2847,6867.658777,670887.8802,738881.5345,NEAR OCEAN,San Diego,3.37,1.02,10,180,5,740,670
96400,1.4375,17,871,379,955,351,32.75,-117.1,10443.31832,179549.2847,6867.658777,670887.8802,738881.5345,NEAR OCEAN,San Diego,2.48,1.08,10,180,5,740,670
94800,1.4828,21,2063,609,1686,558,32.75,-117.1,10443.31832,179549.2847,6867.658777,670887.8802,738881.5345,NEAR OCEAN,San Diego,3.7,1.09,10,180,5,740,670
99200,2.0036,20,2355,722,1848,576,32.75,-117.1,10443.31832,179549.2847,6867.658777,670887.8802,738881.5345,NEAR OCEAN,San Diego,4.09,1.25,10,180,5,740,670
103400,1.6444,16,2426,799,1505,754,32.75,-117.1,10443.31832,179549.2847,6867.658777,670887.8802,738881.5345,NEAR OCEAN,San Diego,3.22,1.06,10,180,5,740,670
85200,1.7446,23,1858,551,1506,492,32.75,-117.1,10443.31832,179549.2847,6867.658777,670887.8802,738881.5345,NEAR OCEAN,San Diego,3.78,1.12,10,180,5,740,670
89800,1.4886,11,1976,548,1528,512,32.75,-117.1,10443.31832,179549.2847,6867.658777,670887.8802,738881.5345,NEAR OCEAN,San Diego,3.86,1.07,10,180,5,740,670
159100,3.37,36,6096,1285,3093,1229,32.72,-117.12,6950.810539,181185.3397,3872.943682,672299.5198,740280.2938,NEAR OCEAN,San Diego,4.96,1.05,5,180,5,740,670
87500,2.7386,16,2374,780,913,705,32.77,-117.18,9136.58712,173421.6698,6287.816162,664449.0384,732426.415,NEAR OCEAN,San Diego,3.37,1.11,10,175,5,730,665
200600,3.4,23,1215,225,592,224,32.77,-117.18,9136.58712,173421.6698,6287.816162,664449.0384,732426.415,NEAR OCEAN,San Diego,5.42,1,10,175,5,730,665
175000,2.7928,48,2012,422,893,394,32.77,-117.12,10904.25621,176651.1896,7153.623367,667982.4719,735975.9958,NEAR OCEAN,San Diego,5.11,1.07,10,175,5,735,670
192200,3.125,43,2167,464,977,461,32.77,-117.12,10904.25621,176651.1896,7153.623367,667982.4719,735975.9958,NEAR OCEAN,San Diego,4.7,1.01,10,175,5,735,670
199100,2.7083,52,1560,307,757,315,32.72,-117.13,6166.745063,180652.3815,2946.677342,671712.2699,739690.1988,NEAR OCEAN,San Diego,4.95,0.97,5,180,5,740,670
126600,1.758,17,1285,423,1208,409,32.72,-117.13,6166.745063,180652.3815,2946.677342,671712.2699,739690.1988,NEAR OCEAN,San Diego,3.14,1.03,5,180,5,740,670
137500,1.8299,9,2436,720,1780,653,32.72,-117.13,6166.745063,180652.3815,2946.677342,671712.2699,739690.1988,NEAR OCEAN,San Diego,3.73,1.1,5,180,5,740,670
117900,1.975,19,1341,435,1048,360,32.72,-117.13,6166.745063,180652.3815,2946.677342,671712.2699,739690.1988,NEAR OCEAN,San Diego,3.73,1.21,5,180,5,740,670
120300,1.901,32,2197,623,1784,599,32.72,-117.13,6166.745063,180652.3815,2946.677342,671712.2699,739690.1988,NEAR OCEAN,San Diego,3.67,1.04,5,180,5,740,670
140600,2.4821,43,2160,504,1221,452,32.72,-117.13,6166.745063,180652.3815,2946.677342,671712.2699,739690.1988,NEAR OCEAN,San Diego,4.78,1.12,5,180,5,740,670
137500,4,26,450,132,317,109,32.73,-117.14,6218.431844,179205.9255,2531.200815,670259.4949,738237.3127,NEAR OCEAN,San Diego,4.13,1.21,5,180,5,740,670
83300,1.8125,37,2045,502,1920,472,32.7,-117.11,6206.88098,183545.749,5090.078565,674618.0129,742596.1648,NEAR OCEAN,San Diego,4.33,1.06,5,185,5,745,675
79400,1.7402,34,2028,522,1797,464,32.7,-117.11,6206.88098,183545.749,5090.078565,674618.0129,742596.1648,NEAR OCEAN,San Diego,4.37,1.13,5,185,5,745,675
86400,1.4856,33,1980,488,1626,428,32.7,-117.11,6206.88098,183545.749,5090.078565,674618.0129,742596.1648,NEAR OCEAN,San Diego,4.63,1.14,5,185,5,745,675
163400,3.79,52,1969,389,877,424,32.74,-117.12,8314.493179,179364.7556,4695.845019,670570.5123,738556.5715,NEAR OCEAN,San Diego,4.64,0.92,10,180,5,740,670
155200,3.2708,46,1898,441,978,439,32.74,-117.12,8314.493179,179364.7556,4695.845019,670570.5123,738556.5715,NEAR OCEAN,San Diego,4.32,1,10,180,5,740,670
205100,5.25,25,1577,266,611,284,32.78,-117.15,10717.00954,174113.7349,7220.664973,665349.2215,733337.5949,NEAR OCEAN,San Diego,5.55,0.94,10,175,5,735,665
171400,2.6742,27,3166,867,1332,817,32.75,-117.15,7593.094546,176844.712,3948.599463,667941.2988,735921.765,NEAR OCEAN,San Diego,3.88,1.06,10,175,5,735,670
204200,2.6181,9,2818,821,851,555,32.75,-117.15,7593.094546,176844.712,3948.599463,667941.2988,735921.765,NEAR OCEAN,San Diego,5.08,1.48,10,175,5,735,670
198700,2.465,40,2261,579,903,525,32.75,-117.15,7593.094546,176844.712,3948.599463,667941.2988,735921.765,NEAR OCEAN,San Diego,4.31,1.1,10,175,5,735,670
87500,2.2982,45,3025,583,1980,550,32.74,-117.21,6293.444808,174638.348,5311.692336,665298.8579,733257.7487,NEAR OCEAN,San Diego,5.5,1.06,5,175,5,735,665
334500,6.9322,52,1245,174,468,193,32.74,-117.21,6293.444808,174638.348,5311.692336,665298.8579,733257.7487,NEAR OCEAN,San Diego,6.45,0.9,5,175,5,735,665
137500,1.9637,49,1566,494,643,419,32.75,-117.16,7254.287756,176313.4796,3811.339398,667354.1379,735331.7344,NEAR OCEAN,San Diego,3.74,1.18,5,175,5,735,665
200000,2.2687,34,1785,558,804,490,32.75,-117.16,7254.287756,176313.4796,3811.339398,667354.1379,735331.7344,NEAR OCEAN,San Diego,3.64,1.14,5,175,5,735,665
199100,2.9112,19,5430,1593,2496,1484,32.75,-117.16,7254.287756,176313.4796,3811.339398,667354.1379,735331.7344,NEAR OCEAN,San Diego,3.66,1.07,5,175,5,735,665
245500,2.9705,23,2474,594,1107,536,32.75,-117.16,7254.287756,176313.4796,3811.339398,667354.1379,735331.7344,NEAR OCEAN,San Diego,4.62,1.11,5,175,5,735,665
171700,2.8281,30,2582,650,1098,603,32.77,-117.13,10422.26216,176104.8207,6697.841815,667391.7692,735382.7956,NEAR OCEAN,San Diego,4.28,1.08,10,175,5,735,665
96800,2.5559,29,2238,523,2061,504,32.71,-117.09,8089.314154,183708.9677,6681.2876,674929.0917,742915.4136,NEAR OCEAN,San Diego,4.44,1.04,10,185,5,745,675
106300,1.5,12,3375,945,2357,808,32.71,-117.09,8089.314154,183708.9677,6681.2876,674929.0917,742915.4136,NEAR OCEAN,San Diego,4.18,1.17,10,185,5,745,675
500001,6.6661,32,4164,701,1277,607,32.71,-117.24,5123.782676,175952.9206,7410.460057,666174.2206,734112.1135,NEAR OCEAN,San Diego,6.86,1.15,5,175,5,735,665
170100,2.6604,46,3355,768,1457,708,32.74,-117.13,7671.250271,178826.4941,3966.811301,669981.8847,737965.2371,NEAR OCEAN,San Diego,4.74,1.08,10,180,5,740,670
203200,2.625,50,1527,338,728,322,32.74,-117.13,7671.250271,178826.4941,3966.811301,669981.8847,737965.2371,NEAR OCEAN,San Diego,4.74,1.05,10,180,5,740,670
185300,3.6852,52,1512,321,651,321,32.74,-117.13,7671.250271,178826.4941,3966.811301,669981.8847,737965.2371,NEAR OCEAN,San Diego,4.71,1,10,180,5,740,670
86300,1.5057,42,2002,488,1505,464,32.7,-117.1,6648.550212,184079.8154,5977.35318,675205.3225,743186.3033,NEAR OCEAN,San Diego,4.31,1.05,5,185,5,745,675
95600,3.6042,28,633,137,525,170,32.7,-117.1,6648.550212,184079.8154,5977.35318,675205.3225,743186.3033,NEAR OCEAN,San Diego,3.72,0.81,5,185,5,745,675
60000,1.125,52,16,4,8,3,32.66,-117.12,2026.1852,186699.5073,7293.46137,677503.803,745467.2814,NEAR OCEAN,San Diego,5.33,1.33,0,185,5,745,680
482700,6.3612,35,2921,438,1042,415,32.69,-117.19,631.0590063,180325.072,3938.061819,670817.2835,738766.6816,NEAR OCEAN,San Diego,7.04,1.06,0,180,5,740,670
137500,3.4286,5,1824,509,892,426,32.75,-117.23,7320.895081,172688.822,7487.724298,663264.3601,731219.6606,NEAR OCEAN,San Diego,4.28,1.19,5,175,5,730,665
101800,3.1389,23,2415,653,1275,596,32.75,-117.23,7320.895081,172688.822,7487.724298,663264.3601,731219.6606,NEAR OCEAN,San Diego,4.05,1.1,5,175,5,730,665
159800,3.3456,11,4304,1245,1960,1105,32.75,-117.23,7320.895081,172688.822,7487.724298,663264.3601,731219.6606,NEAR OCEAN,San Diego,3.9,1.13,5,175,5,730,665
165000,2.4779,21,2050,608,1131,550,32.75,-117.23,7320.895081,172688.822,7487.724298,663264.3601,731219.6606,NEAR OCEAN,San Diego,3.73,1.11,5,175,5,730,665
178600,3.6375,24,3566,765,1697,722,32.78,-117.16,10479.77067,173574.3286,7146.553831,664759.9781,732745.6923,NEAR OCEAN,San Diego,4.94,1.06,10,175,5,735,665
165000,3.7381,34,2515,488,1594,515,32.78,-117.16,10479.77067,173574.3286,7146.553831,664759.9781,732745.6923,NEAR OCEAN,San Diego,4.88,0.95,10,175,5,735,665
93400,1.6102,14,2361,601,1831,526,32.74,-117.1,9744.125733,180450.7881,6319.162644,671749.9128,739741.1555,NEAR OCEAN,San Diego,4.49,1.14,10,180,5,740,670
100000,1.6747,20,3854,1046,3555,966,32.74,-117.1,9744.125733,180450.7881,6319.162644,671749.9128,739741.1555,NEAR OCEAN,San Diego,3.99,1.08,10,180,5,740,670
94100,2.3641,30,1772,500,1389,447,32.74,-117.1,9744.125733,180450.7881,6319.162644,671749.9128,739741.1555,NEAR OCEAN,San Diego,3.96,1.12,10,180,5,740,670
225000,2.9735,24,3914,985,2147,874,32.75,-117.22,7694.186827,173196.3506,6699.420976,663846.4204,731805.1452,NEAR OCEAN,San Diego,4.48,1.13,10,175,5,730,665
162000,3.8036,26,617,112,251,110,32.75,-117.22,7694.186827,173196.3506,6699.420976,663846.4204,731805.1452,NEAR OCEAN,San Diego,5.61,1.02,10,175,5,730,665
125000,2.6121,26,696,185,384,184,32.75,-117.22,7694.186827,173196.3506,6699.420976,663846.4204,731805.1452,NEAR OCEAN,San Diego,3.78,1.01,10,175,5,730,665
291000,4.5878,34,6001,1111,2654,1072,32.75,-117.22,7694.186827,173196.3506,6699.420976,663846.4204,731805.1452,NEAR OCEAN,San Diego,5.6,1.04,10,175,5,730,665
90300,2.0156,47,771,224,637,212,32.68,-117.1,4900.258413,185907.6653,6961.636904,676937.3559,744912.8431,NEAR OCEAN,San Diego,3.64,1.06,5,185,5,745,675
93600,2.0398,49,1412,350,1200,332,32.68,-117.1,4900.258413,185907.6653,6961.636904,676937.3559,744912.8431,NEAR OCEAN,San Diego,4.25,1.05,5,185,5,745,675
99600,2.4943,45,1183,289,900,266,32.68,-117.1,4900.258413,185907.6653,6961.636904,676937.3559,744912.8431,NEAR OCEAN,San Diego,4.45,1.09,5,185,5,745,675
97800,1.7802,47,1044,274,1003,280,32.68,-117.1,4900.258413,185907.6653,6961.636904,676937.3559,744912.8431,NEAR OCEAN,San Diego,3.73,0.98,5,185,5,745,675
88900,2.0488,20,1012,269,837,240,32.68,-117.1,4900.258413,185907.6653,6961.636904,676937.3559,744912.8431,NEAR OCEAN,San Diego,4.22,1.12,5,185,5,745,675
107600,2.0724,42,2013,568,1920,557,32.68,-117.1,4900.258413,185907.6653,6961.636904,676937.3559,744912.8431,NEAR OCEAN,San Diego,3.61,1.02,5,185,5,745,675
88600,1.9583,25,1491,348,1183,316,32.72,-117.11,7768.511314,181721.4778,4802.802357,672887.4862,740871.0284,NEAR OCEAN,San Diego,4.72,1.1,10,180,5,740,675
500001,3.2361,38,2827,581,972,558,32.72,-117.23,5610.9131,175503.9822,6464.428406,665879.6003,733824.7704,NEAR OCEAN,San Diego,5.07,1.04,5,175,5,735,665
244200,2.1635,43,952,209,392,210,32.72,-117.23,5610.9131,175503.9822,6464.428406,665879.6003,733824.7704,NEAR OCEAN,San Diego,4.53,1,5,175,5,735,665
90100,1.043,36,1469,400,1271,340,32.69,-117.13,4592.708643,183407.6873,4080.483652,674313.2541,742282.5957,NEAR OCEAN,San Diego,4.32,1.18,5,185,5,740,675
